,x,y,ch2,ch2Dof,probchi2,measurementTimestamp
976,-1.0506281408,-3.60356626378,23.4157125068,2.92696406335,0.00286957435379,1484760386000
977,0.161215552173,-4.44935747858,674.715608653,8.99620811537,0.0,1484760387000
978,6.87357028862,-5.58407595917,802.543116186,7.79168073967,0.0,1484760389000
979,8.935307144,-4.84489503546,731.858740801,6.5933219892,0.0,1484760396000
980,8.87014524994,-4.16266924197,261.753553943,7.07442037684,0.0,1484760397000
981,11.8736386224,6.30777371331,309.917214162,5.63485843931,0.0,1484760406000
982,14.2098869225,12.6948514995,484.685964042,17.3102130015,0.0,1484760407000
983,28.1806836885,12.4674488959,917.342286938,9.65623459934,0.0,1484760416000
984,25.3847276769,9.5008458583,505.063453734,7.31976019905,0.0,1484760417000
985,25.2265280468,12.2444215851,1230.81587806,6.80008772408,0.0,1484760420000
986,31.504830107,13.0991446723,841.905163188,9.35450181319,0.0,1484760426000
987,17.6390876993,14.9968296896,639.85480966,11.8491631419,0.0,1484760427000
988,28.868495414,15.8205133182,911.607693875,11.8390609594,0.0,1484760436000
989,25.155239666,17.7425409231,524.774007064,11.1654044056,0.0,1484760437000
990,35.1338457169,15.684244016,754.253263365,11.2575113935,0.0,1484760446000
991,41.8518523445,15.9478549893,823.416300014,10.693718182,0.0,1484760447000
992,46.1723217909,15.3810130171,197.305513533,5.05911573161,0.0,1484760456000
993,42.6436997355,14.835989993,895.406412035,10.6596001433,0.0,1484760457000
994,49.8283918656,6.19862855011,733.01245731,11.1062493532,0.0,1484760466000
995,44.0555383083,9.67468234092,518.80634193,6.03263188291,0.0,1484760467000
996,46.7473126423,-0.160102236208,143.535483734,5.31612902718,0.0,1484760476000
997,46.0977003185,-2.50798808384,389.024654184,3.81396719788,0.0,1484760477000
998,46.1010024258,-2.55745328322,868.874668016,4.93678788646,0.0,1484760482000
999,48.0779624583,-10.6362878786,222.490703126,5.85501850331,0.0,1484760486000
1000,46.4191647826,-11.4856070014,625.459589053,5.43877903524,0.0,1484760487000
1001,49.4971401578,-17.6387365135,750.684923426,5.10670015936,0.0,1484760493000
1002,41.0171513,-18.839276555,611.283035051,3.77335206822,0.0,1484760496000
1003,39.7759081387,-18.0135427578,773.546714717,4.55027479245,0.0,1484760503000
1004,31.4013984778,-7.6831212001,1066.64073848,5.52663595065,0.0,1484760513000
1005,34.2533638845,-6.57733851203,1643.47737589,9.39129929078,0.0,1484760516000
1006,28.13216141,-5.36510836992,1038.55820811,4.65721169554,0.0,1484760523000
1007,26.806046876,-4.61658290948,927.590021628,7.54138228966,0.0,1484760525000
1008,25.9986883125,-8.43974854672,1033.32364315,5.70897040416,0.0,1484760533000
1009,19.5959417795,-18.5276559424,904.664439626,4.59220527729,0.0,1484760543000
1010,18.2569547486,-16.8348593148,1002.2591018,4.09085347674,0.0,1484760545000
1011,11.1645104064,-14.3333135224,692.82539702,4.5580618225,0.0,1484760553000
1012,-1.14785559329,-21.3957993563,1314.56266033,6.28977349441,0.0,1484760563000
1013,3.10485052232,-24.4695988227,1336.64468274,6.85458811663,0.0,1484760573000
1014,7.27829433613,-32.6863144069,1214.55175226,5.57133831312,0.0,1484760583000
1015,4.56502008686,-38.829275587,1272.69939348,7.90496517692,0.0,1484760585000
1016,5.00255205122,-43.3853664279,1566.87675902,8.33445084585,0.0,1484760593000
1017,15.1216654055,-41.9290358461,565.799276727,4.35230212867,0.0,1484760603000
1018,20.7016260809,-34.9858685536,1136.73144367,7.78583180598,0.0,1484760613000
1019,27.5733933767,-29.7220477672,1252.37046111,6.4224126211,0.0,1484760623000
1020,31.4466957879,-28.4566372585,1523.74381551,8.757148365,0.0,1484760633000
1021,37.6621134702,-41.9581147756,125.940174787,6.62843025193,0.0,1484760641000
1022,31.5033374658,-39.4140500497,1043.66836812,9.23600325774,0.0,1484760642000
1023,37.9439597677,-37.4664508736,876.241965151,4.95051957712,0.0,1484760644000
1024,42.8922360128,-34.7744343325,604.490087951,6.8692055449,0.0,1484760651000
1025,40.8301236097,-38.3809984468,403.962642413,5.17900823607,0.0,1484760652000
1026,47.4682025989,-32.0062876437,521.910014452,8.02938483772,0.0,1484760661000
1027,48.4746244787,-34.8603970785,658.725660874,6.72169041708,0.0,1484760662000
1028,47.8023920021,-37.8558090241,1239.3542147,7.94457829936,0.0,1484760665000
1029,51.3460038212,-47.5238429492,393.363460086,7.4219520771,0.0,1484760671000
1030,51.7073404236,-53.7988372231,854.512179001,6.28317778677,0.0,1484760672000
1031,50.4338990214,-55.920551273,70.345172197,5.02465515693,1.67121994021e-09,1484760681000
